,State,Country,Region,sarimaI_CC,sarimaI_F,HWI_CC,HWI_F,LRI_CC,LRI_F,LGBMI_CC,LGBMI_F,PROPHET_CC,PROPHET_F
15594,,Hungary,Hungary,7.190955487119421,7.899213814028013,2.67081129186621,10.454786634409597,23.311670907663835,12.129201913742238,17.246445723802278,22.214691760657377,4.686914701218756,12.043629052832221
15707,,Iceland,Iceland,2.314013409636277,5.714285714285716,3.2878811232170637,16.428571428571427,3.749521025439647,2.1428571428571423,0.7591155458025762,5.714285714285716,14.301633390597695,27.707860922146637
15820,,India,India,6.7293752634829325,14.28824665772474,6.175308060555346,11.7200898845667,16.036682800664735,13.936393007376275,28.821916722134233,29.379632951410663,22.03951119083671,21.23788582250767
15933,,Indonesia,Indonesia,1.651354040521225,2.8334136922640742,0.9019232505924476,8.31696271463212,11.14870929792474,22.226402158134505,20.416921215375194,15.566903613900957,7.192261996578191,6.471799489430586
16046,,Iran,Iran,0.5887063456495181,0.44185993067441376,1.194999210664792,1.1520676506345389,1.5728238908829566,1.0794647976330256,8.301687870450035,8.74074832350287,6.69399648853833,6.214813079251385
16159,,Iraq,Iraq,10.483414230993967,7.72279844136383,6.800538194636087,1.4964168768472477,2.8531268797674305,8.518479592329804,15.583923059235987,7.72279844136383,4.678571254473433,8.588979779859658
16272,,Ireland,Ireland,0.7923248665492475,6.459839278280602,7.394374272521528,5.148923563047826,13.053226448457162,8.691037025227189,14.06138617724043,26.593490326352114,10.965407413494779,15.689995868609225
16385,,Israel,Israel,2.3639741089466404,12.01839510434188,3.6007125230516746,16.908879678224466,3.0865865295738386,3.03083842037646,8.120324023418291,12.465406495067546,12.152961347180623,12.183995177446388
16498,,Italy,Italy,2.5494857222312675,1.501322595419451,3.6181662502249945,2.2677199219459134,6.266237956433236,4.102227242689655,7.266417106826966,8.882627906600595,6.172640293796535,6.002280027690049
16611,,Jamaica,Jamaica,25.59168988679923,19.590891912320487,12.964801106717466,10.30801209372638,46.86207246914526,100.37603930461074,30.72936239226271,19.590891912320487,34.09655815930095,6.429516250944824
16724,,Japan,Japan,13.328931093983826,2.810399063897631,16.637585833183127,4.4058417466677104,45.05544141363343,10.833526806106006,13.138369978070068,25.691685559209283,10.932211458582893,24.022404197319254
16837,,Jordan,Jordan,2.0173920394852334,7.539682539682542,1.7281079417059013,2.9856386999244147,1.9295183501936815,2.0030234315948605,6.68951100326225,7.539682539682542,5.7852274421348024,9.5275888133031
16950,,Kazakhstan,Kazakhstan,20.798603381744865,19.455955779274326,14.02112201295654,2.331263015715038,8.189288557375251,10.900635124818184,28.053223471254423,19.455955779274326,19.919730091147876,9.292160125894254
17063,,Kenya,Kenya,17.46775124199146,9.164543168364524,6.697151685599614,9.742402698158276,2.1462909548856706,10.283441491968007,21.393327719498068,15.75911950531626,10.05120642224851,11.1696063194723
17176,,"Korea, South","Korea, South",0.09378334202456479,1.4980731110350962,0.09111428149599819,3.053672177841552,0.18207746967514674,2.591542706270916,0.7152423154641729,3.420569580291253,2.6363794078763982,9.92643909629959
17289,,Kosovo,Kosovo,3.8380047065334524,26.731175276676954,7.3100314158097905,10.28256327258142,14.44139655785116,8.0217434901559,20.168236091482804,26.731175276676954,11.1515088892707,18.611530119502643
